LOCATIONNAME,LOCATION_MEAN_UNITPRICE_log,DISTANCE_TO_CITY_CENTER_M,DISTANCE_TO_METRO_M,DISTANCE_TO_CASTELLANA_M,R2,R2_Cuartiles
Mirasierra,8.258331734189007,8.826021171721097,0.7886461578434059,2.5701006700544626,0.6324,Medio
Montecarmelo,8.397136534261406,9.978219361617533,0.5743055435193775,2.9474945184398615,0.567,Medio
Moscardó,7.7132003229076735,3.202549146765903,0.38602243503026773,1.0794411993366566,0.7528,Alto
Niño Jesús,8.463173380407358,2.7218634582119345,0.33562826997926853,1.640602516494026,0.6911,Medio
Nueva España,8.575749138910563,5.481017570776544,0.3718753977761381,0.8162835146815952,0.7454,Medio
Nuevos Ministerios-Ríos Rosas,8.552835885707657,2.8933243419272263,0.27112238512157355,0.5806590499329355,0.6641,Medio
Numancia,7.598280493291914,4.077705635521099,0.49067443473993144,2.7378234838094495,0.6802,Medio
Opañel,7.722044163406806,3.322723968551173,0.28542350395125554,2.301042664813016,0.7574,Alto
Orcasitas,7.453553619263436,5.423778858266648,1.424479500651505,2.892948699843475,0.8392,Alto
Pacífico,8.317415877226912,2.5665417581710797,0.24844381725942974,1.2712601320051,0.6291,Medio
Palacio,8.483139471141682,0.8408067877608082,0.2746945176616092,1.5226783560022534,0.6728,Medio
Palomas,8.397546888655517,8.288909969510431,0.9307391304284941,6.052244896700217,0.7284,Medio
Palomeras Bajas,7.545234797691146,4.997097182088178,0.6462952695379831,3.0874660048706377,0.6571,Medio
Palomeras sureste,7.570372870352362,6.475596051841418,0.5391199636996459,4.719153972617459,0.7743,Alto
Palos de Moguer,8.308850917874771,1.6982015823767542,0.2598479516296596,0.20474851852041062,0.6906,Medio
Pau de Carabanchel,7.947206201396141,7.175480909746638,0.6569042451260512,5.85038789107403,0.6822,Medio
Pavones,7.687336195392106,6.249994079279752,0.42450854635112234,5.040543434957675,0.7763,Alto
Peñagrande,8.12874199929377,7.105694025587207,0.446452377735218,3.0576622165449097,0.7525,Alto
Pilar,8.05365979803829,6.701576804590722,0.34847832062980355,2.013176494853354,0.6383,Medio
Pinar del Rey,7.971196324633434,7.891130783140663,0.3493511747469026,3.3131866012542885,0.7406,Medio
Portazgo,7.480571481916988,5.599723225992563,0.44929170764536064,3.959429937373787,0.6205,Medio
Pradolongo,7.56073148333833,3.859493103720752,0.5656894969369987,1.4621880022353246,0.6884,Medio
Prosperidad,8.355008946280607,3.972985278347199,0.2526343709524,1.6002183606507052,0.6514,Medio
Pueblo Nuevo,7.818514671465514,5.703865739949042,0.2777247002891469,4.245563885993629,0.6957,Medio
Puerta Bonita,7.511033889269053,5.014742562896924,0.4355557251175399,3.8501937694385915,0.7696,Alto
Puerta del Ángel,7.852642270989156,2.67022103290721,0.39933931756357494,3.389921032112651,0.7845,Alto
Quintana,7.944977512443217,5.3649601647703715,0.26410180617232465,3.617358889369274,0.6932,Medio
Recoletos,8.894655457427163,1.9139248507427566,0.21105954130528412,0.5421081908701352,0.648,Medio
Rejas,7.983602153017492,10.723896569405875,1.3869652466331641,9.039534192109839,0.8133,Alto
Rosas,8.038794661392245,8.36182918932125,0.2957513255167076,7.006890834397296,0.7792,Alto
Salvador,8.13325670598311,6.655027783850976,0.6176811494429871,4.749971721274532,0.6921,Medio
San Andrés,7.385730264083016,7.946975834819396,0.6649970250472571,5.224459964208276,0.763,Alto
San Cristóbal,7.09729189263837,8.362261112169877,0.4372094090153228,5.433527798337387,0.467,Bajo
San Diego,7.494219259053785,4.28172865697815,0.726581322410109,2.3297450859781534,0.7178,Medio
San Fermín,7.544112443165372,5.301239882382662,0.5082060519482654,2.353034167953017,0.6913,Medio
San Isidro,7.687767528133016,3.3089794001705686,0.44500211372407866,2.990962390460161,0.7752,Alto
San Juan Bautista,8.28324618159344,5.563819401462437,0.43813392942269364,2.8689902278055,0.6949,Medio
San Pascual,8.184032687382944,5.185852229282629,0.47582234879894963,3.176632711270614,0.7455,Medio
Sanchinarro,8.32121040164211,9.591720417734164,1.4741946557248888,2.836038106390031,0.7379,Medio
Santa Eugenia,7.661903277375971,8.97883294970239,1.0812624580895114,7.415143238415696,0.7608,Alto
Simancas,7.838448166542266,6.854378688012415,0.39329671090186663,5.318536164496241,0.8121,Alto
Sol,8.55394578556373,0.269857083350475,0.25262235079569534,0.9349291206644332,0.6341,Medio
Timón,8.0464442562052,11.754602702175834,0.5343237979759975,8.461728756296027,0.8077,Alto
Trafalgar,8.59952892320299,1.8497481331715566,0.204154876868388,0.9747208872913499,0.7156,Medio
Tres Olivos - Valverde,7.799640206923825,8.513239939447852,0.48843564613812507,1.2387517091781648,0.7475,Medio
Valdeacederas,8.025103194366183,5.507497277901951,0.5275573790117453,1.0999448902065014,0.7083,Medio
Valdebebas - Valdefuentes,8.226165210499174,11.153874133169822,1.7193548615877738,6.035327681512979,0.5444,Medio
Valdebernardo - Valderribas,7.843026054534068,8.036378836911219,0.44218409803792896,6.8705293509554775,0.6121,Medio
Valdemarín,8.427785990788015,8.821912654268965,5.364159119468446,7.942939729136588,0.6711,Medio
Valdezarza,8.043784870688912,5.526652189211384,0.3639328988485247,2.2996493539349045,0.7665,Alto
Vallehermoso,8.450217925823505,2.9055917725440588,0.2703527575306482,1.6333032041485207,0.6608,Medio
Ventas,7.878285616669814,4.50095183715948,0.37541276619361363,3.1001784603647025,0.7172,Medio
Ventilla-Almenara,8.067182274234238,5.994981210999791,0.32665813451804365,0.47323065886917126,0.7103,Medio
Vinateros,7.765914599934561,5.207054975970248,0.33406520304754794,4.061706514237088,0.6686,Medio
Virgen del Cortijo - Manoteras,8.215799862261804,8.38996422729123,0.8279886112820425,1.4389095491890098,0.9161,Alto
Vista Alegre,7.618190294168497,4.673278831411494,0.31063695194660595,4.036069079078857,0.6912,Medio
Zofío,7.517008508630268,4.058082228959667,0.5485157328855869,1.993813679109232,0.657,Medio
Águilas,7.595869578841372,7.252917890106437,0.8792126724793072,6.784556146137682,0.6331,Medio
